"Person","time","t1ambiv","pospexpress","posRel"
70,17,1.4,6,6.666667
70,18,1.4,9,7
70,19,1.4,6,6.333333
70,20,1.4,7,7.333333
73,1,0.8,8,9.333333
73,2,0.8,9,9.333333
73,3,0.8,8,9.333333
73,4,0.8,8,9.333333
73,5,0.8,8,9
73,6,0.8,8,8.666667
73,7,0.8,7,8.666667
73,8,0.8,8,7.5
73,9,0.8,9,8.333333
73,10,0.8,4,4.666667
73,11,0.8,4,6
73,12,0.8,9,8.666667
73,13,0.8,9,8.333333
73,14,0.8,9,8.666667
73,16,0.8,9,8.666667
73,17,0.8,8,8.333333
73,18,0.8,6,8.333333
73,19,0.8,0,7.333333
73,20,0.8,0,7.666667
75,1,0.4,7,10
75,3,0.4,7,10
75,6,0.4,10,10
75,8,0.4,8,10
75,9,0.4,0,9.333333
75,12,0.4,0,9.666667
75,13,0.4,0,9
75,14,0.4,0,10
75,15,0.4,0,9.666667
75,17,0.4,2,8.666667
76,1,0.8,10,8.666667
76,2,0.8,10,8
76,6,0.8,10,7
76,8,0.8,10,8.333333
76,13,0.8,0,9
76,20,0.8,10,10
78,1,1.4,9,8
78,2,1.4,9,8
78,3,1.4,9,8.333333
78,4,1.4,9,8.666667
78,6,1.4,10,8.333333
78,7,1.4,10,8.666667
78,8,1.4,10,9.333333
78,9,1.4,9,7.666667
78,10,1.4,10,7.666667
78,11,1.4,10,7.333333
78,12,1.4,10,8.333333
78,13,1.4,10,7.666667
78,16,1.4,9,7.666667
78,17,1.4,10,7.666667
78,18,1.4,6,7.333333
78,19,1.4,10,8
78,23,1.4,9,8
79,1,1,4,3.666667
79,2,1,8,8.333333
79,3,1,1,5.666667
79,4,1,1,5.666667
79,5,1,3,4.333333
79,6,1,3,4.333333
79,7,1,3,7
79,8,1,8,6
79,9,1,3,4
79,10,1,4,5
79,11,1,3,5.333333
79,12,1,3,4.333333
79,13,1,4,5.333333
79,14,1,4,4
79,15,1,4,3.333333
79,16,1,4,3
79,17,1,2,4.333333
79,18,1,2,2
79,19,1,3,2
79,20,1,2,1.333333
80,1,0.4,4,9.666667
80,2,0.4,9,10
80,3,0.4,9,9
80,4,0.4,10,9.333333
80,5,0.4,8,9.666667
80,6,0.4,9,10
80,7,0.4,10,10
80,8,0.4,6,9.333333
80,9,0.4,7,8.666667
80,10,0.4,8,9
80,11,0.4,8,9
80,12,0.4,5,8
80,13,0.4,9,8.666667
80,14,0.4,5,8.333333
80,15,0.4,8,9.333333
80,16,0.4,10,9.666667
80,17,0.4,4,8.666667
80,18,0.4,6,9
80,19,0.4,7,10
80,20,0.4,8,9.666667
81,1,0.6,6,9.333333
81,2,0.6,4,9.666667
81,3,0.6,2,8.666667
81,4,0.6,6,8.666667
81,6,0.6,4,7.666667
81,7,0.6,3,7.666667
81,9,0.6,1,7.666667
81,10,0.6,2,4.666667
81,11,0.6,2,6.666667
81,12,0.6,4,8.333333
81,13,0.6,5,7.666667
81,14,0.6,5,7.666667
81,15,0.6,1,5
81,16,0.6,6,8
81,17,0.6,0,7.666667
81,18,0.6,6,7.666667
84,1,1,9,7
84,2,1,8,7
84,3,1,7,7.666667
84,4,1,5,8
84,5,1,6,8.666667
84,6,1,5,8
84,7,1,6,6.333333
84,8,1,5,6.333333
84,9,1,7,6.666667
84,10,1,8,9
84,11,1,0,6.666667
84,12,1,0,7.666667
84,13,1,2,6.666667
84,14,1,9,10
84,15,1,0,7.333333
84,16,1,2,8.333333
84,17,1,0,6.333333
84,18,1,0,6.666667
84,19,1,3,7.666667
84,20,1,6,8.666667
86,2,1.6,6,9
86,3,1.6,4,4.333333
86,4,1.6,0,2.333333
86,6,1.6,9,9.666667
86,7,1.6,0,7.333333
86,8,1.6,0,8
86,10,1.6,7,2
86,11,1.6,8,7.333333
86,12,1.6,9,5.333333
86,13,1.6,8,9
86,14,1.6,4,9
86,15,1.6,8,5.666667
86,16,1.6,9,10
86,17,1.6,3,9.333333
86,18,1.6,8,9
88,1,0.6,10,8.666667
88,2,0.6,5,10
88,3,0.6,3,7.333333
88,4,0.6,10,9.333333
88,6,0.6,0,9.333333
88,8,0.6,10,9.666667
88,9,0.6,3,9.333333
88,12,0.6,7,6.666667
88,15,0.6,0,9.666667
89,1,3,5,9
89,2,3,6,7.666667
89,3,3,6,8.333333
89,4,3,3,8
89,5,3,8,6
89,6,3,7,9.666667
89,7,3,8,8
89,8,3,5,8.666667
89,9,3,6,9.5
89,11,3,0,7.333333
89,12,3,10,7.666667
89,14,3,2,8
89,15,3,1,8
89,17,3,0,5.666667
89,18,3,3,5.666667
89,19,3,3,7.333333
89,20,3,8,6.333333
89,22,3,1,6.666667
90,1,2.2,2,6
90,2,2.2,0,6
90,3,2.2,3,5
90,4,2.2,0,5.666667
90,5,2.2,0,5
90,6,2.2,0,6
90,7,2.2,0,5.5
90,9,2.2,0,6
91,1,0.4,0,9.666667
91,2,0.4,2,7.666667
91,3,0.4,0,6.666667
91,4,0.4,0,5.666667
91,5,0.4,0,7.333333
91,6,0.4,0,9.666667
91,7,0.4,0,7.666667
91,8,0.4,4,7.666667
91,9,0.4,0,7.333333
91,10,0.4,0,8.333333
91,12,0.4,0,8
91,13,0.4,0,6.666667
91,14,0.4,0,6.666667
91,16,0.4,2,8.666667
91,20,0.4,2,9
92,1,0.2,0,9.666667
92,5,0.2,4,9.333333
92,11,0.2,10,10
92,13,0.2,4,9.666667
94,1,0.4,7,9
94,2,0.4,5,9.666667
94,3,0.4,9,10
94,4,0.4,9,9.333333
94,5,0.4,10,10
94,6,0.4,9,9.666667
94,7,0.4,10,10
94,8,0.4,9,10
94,9,0.4,6,9
94,10,0.4,10,9.333333
94,12,0.4,9,10
97,1,1.2,8,8.333333
97,2,1.2,6,7.333333
97,3,1.2,9,8.666667
97,4,1.2,9,8.666667
97,5,1.2,0,8.666667
97,6,1.2,8,8.666667
97,7,1.2,0,7.333333
97,8,1.2,7,9
97,10,1.2,9,9.666667
97,12,1.2,0,9.333333
97,13,1.2,10,10
97,14,1.2,9,8.666667
97,16,1.2,8,9.333333
97,18,1.2,8,9.666667
98,1,0.2,1,8
98,2,0.2,1,8.666667
98,3,0.2,0,4
98,5,0.2,3,8
98,6,0.2,2,7.666667
98,7,0.2,4,8.333333
98,8,0.2,5,8.666667
98,9,0.2,2,6.333333
98,10,0.2,2,5.666667
98,11,0.2,0,5.666667
98,12,0.2,0,5.666667
98,13,0.2,0,5.333333
98,14,0.2,2,6.333333
98,15,0.2,0,6.666667
98,16,0.2,1,8
98,17,0.2,6,9
98,18,0.2,3,8
98,19,0.2,5,8.666667
98,20,0.2,4,8.666667
99,4,4.6,2,8.333333
99,6,4.6,9,9
99,7,4.6,2,8
99,8,4.6,5,8.333333
99,10,4.6,7,8.333333
99,12,4.6,3,6
99,14,4.6,7,8.333333
99,15,4.6,5,9
99,18,4.6,3,5.333333
99,20,4.6,4,8.666667
101,1,0,6,10
101,2,0,9,9.666667
101,3,0,10,9.333333
101,4,0,10,10
101,5,0,9,9.666667
101,6,0,7,10
101,7,0,9,9.333333
101,8,0,8,9.666667
101,9,0,6,9.333333
101,10,0,8,9.666667
101,11,0,6,8
101,12,0,10,9.666667
101,13,0,8,9.333333
101,14,0,6,10
101,15,0,8,10
101,16,0,7,9.333333
101,17,0,0,9
101,18,0,7,8.666667
101,19,0,7,8.666667
101,20,0,8,10
102,1,2.4,2,8.333333
102,2,2.4,5,7.333333
102,3,2.4,10,8.5
102,4,2.4,8,9.333333
102,5,2.4,8,10
102,6,2.4,0,5.333333
102,7,2.4,4,4.666667
102,8,2.4,3,9
102,9,2.4,0,4.666667
102,10,2.4,5,6
102,11,2.4,5,6
102,12,2.4,4,6.333333
102,13,2.4,6,7
102,14,2.4,8,8.666667
102,15,2.4,4,4
102,16,2.4,4,7
102,17,2.4,3,9
102,18,2.4,8,9.666667
102,19,2.4,7,10
102,20,2.4,4,7.666667
102,21,2.4,2,10
102,22,2.4,6,8
103,1,1.4,6,8.333333
103,2,1.4,8,9
103,3,1.4,6,9.333333
103,4,1.4,7,9.333333
103,7,1.4,7,8.333333
103,8,1.4,8,8.666667
103,9,1.4,7,8.333333
103,10,1.4,8,8.666667
103,11,1.4,8,8.333333
103,12,1.4,8,7.666667
103,13,1.4,7,8.333333
103,15,1.4,8,9
103,16,1.4,8,8.333333
108,1,0.8,10,8.333333
108,2,0.8,9,8
108,3,0.8,10,10
108,4,0.8,9,10
108,5,0.8,9,10
108,7,0.8,10,10
108,8,0.8,9,10
108,9,0.8,5,10
108,10,0.8,8,10
108,11,0.8,8,10
108,13,0.8,6,7.666667
108,14,0.8,9,9
108,15,0.8,8,10
108,16,0.8,8,9.333333
108,17,0.8,8,8.333333
108,18,0.8,9,9.666667
108,20,0.8,10,9.666667
110,1,0,9,10
110,2,0,10,9.333333
