"DYAD","DAY","f_ARGUE","f_CLOSE","m_ARGUE","m_CLOSE","f_hb","m_hb"
136,2,1,3,1,3,0,0
136,3,0,3,0,3,1,1
136,4,0,3,0,3,0,0
136,5,0,3,0,3,0,0
136,6,0,2,0,3,0,0
136,7,0,3,1,3,0,0
137,1,0,3,0,3,0,0
137,2,0,3,0,3,1,1
137,3,1,3,1,3,0,-1
137,4,1,3,1,3,0,-1
137,5,1,3,1,3,1,0
137,6,1,3,1,3,0,0
137,7,1,3,1,2,1,-2
138,1,0,3,0,3,0,0
138,2,1,3,1,3,1,0
138,3,0,3,0,3,0,0
138,4,0,3,0,3,0,-1
138,5,0,3,0,3,0,1
138,6,0,3,1,3,0,0
138,7,1,3,1,3,1,0
139,1,0,3,0,3,1,1
139,2,0,3,0,3,0,1
139,3,0,3,0,3,0,0
139,4,1,3,1,3,0,1
139,5,1,3,1,3,0,0
139,6,0,2,0,3,0,0
139,7,0,2,0,3,0,0
140,1,0,2,0,2,0,0
140,2,0,2,0,2,0,0
140,3,0,2,0,2,0,-1
140,4,0,2,0,0,-2,3
140,5,0,2,0,2,0,0
140,6,0,2,0,2,0,0
140,7,0,2,0,2,0,0
141,1,2,3,1,3,-3,-1
141,2,2,3,2,2,-2,-1
141,3,1,3,2,2,-3,0
141,4,1,2,1,3,-3,0
141,5,1,3,4,3,-3,0
141,6,0,3,0,3,-2,0
141,7,NA,NA,2,3,NA,-2
142,1,2,2,3,2,0,0
142,2,3,2,3,1,0,0
142,3,3,2,3,2,-1,0
142,4,3,2,3,3,-2,-2
142,5,2,2,2,2,2,3
142,6,2,2,2,2,0,0
142,7,2,3,2,2,-3,-3
143,1,0,3,0,3,0,0
143,2,0,3,0,3,0,0
143,3,0,3,0,3,0,0
143,4,0,3,0,3,0,0
143,5,0,3,0,3,1,-1
143,6,0,3,0,3,0,0
143,7,0,3,0,3,0,0
144,1,1,3,0,3,1,-2
144,2,1,2,0,3,2,1
144,3,0,2,0,3,-1,-1
144,4,3,0,0,2,0,0
144,5,1,2,0,2,1,0
144,6,0,3,0,2,3,0
144,7,0,2,0,2,-3,0
145,1,3,2,2,2,-1,0
145,2,2,3,0,2,-1,-3
145,3,4,2,0,2,2,-2
145,4,3,1,1,0,-2,-3
145,5,3,2,3,2,0,-1
145,6,3,3,2,2,-2,0
145,7,4,3,2,3,0,-2
146,1,2,0,2,1,-3,-3
146,2,1,1,3,0,-3,-3
146,3,1,1,1,1,-3,-3
146,4,3,1,3,0,-1,-3
146,5,3,1,3,1,-3,-3
146,6,3,1,3,1,-3,-3
146,7,3,1,3,1,-3,-3
147,1,0,3,0,3,0,0
147,2,0,3,0,3,1,3
147,3,0,3,0,3,0,0
147,4,0,3,0,3,1,0
147,5,0,3,0,3,1,1
147,6,0,3,0,3,1,0
147,7,0,3,0,3,0,0
148,1,1,3,1,3,-1,-1
148,2,2,3,2,3,2,2
148,3,2,3,2,3,2,1
148,4,0,3,0,3,1,1
148,5,0,3,0,3,0,0
148,6,0,3,0,3,0,0
148,7,0,3,0,3,0,0
149,1,0,3,1,3,0,1
149,2,0,3,3,3,0,0
149,3,0,3,2,3,0,0
149,4,0,3,0,3,0,0
149,5,0,3,0,3,0,0
149,6,0,3,0,3,0,0
149,7,0,3,0,3,0,0
150,1,1,0,0,1,-1,0
150,2,0,3,0,1,-1,0
150,3,0,3,0,3,0,0
150,4,0,3,0,3,0,0
150,5,0,3,0,3,0,0
150,6,0,3,0,3,0,0
150,7,0,3,0,3,0,0
151,1,0,2,0,2,-1,-2
151,2,0,2,0,3,-1,-1
151,3,0,2,0,2,0,-1
151,4,0,2,0,2,-1,-1
151,5,0,2,0,3,-1,-1
151,6,0,2,0,2,-1,-2
151,7,0,2,0,2,-1,-1
152,1,0,3,0,3,-1,-1
152,2,0,3,0,3,-1,-1
152,3,0,3,0,3,0,-1
152,4,0,3,0,3,0,-1
152,5,0,3,0,3,0,-1
152,6,0,3,0,3,-2,-1
152,7,0,3,0,3,-2,-1
153,1,0,3,0,3,0,-1
153,2,0,3,0,3,-1,-1
153,3,0,3,0,3,0,0
153,4,0,3,0,3,0,0
153,5,0,3,0,2,-1,-2
153,6,0,3,0,3,-1,-2
153,7,0,3,0,2,-1,-1
154,1,0,3,0,3,0,0
154,2,0,3,0,2,-1,-1
154,3,0,3,0,3,-2,-1
154,4,0,3,0,3,-1,0
154,5,0,3,0,3,0,0
154,6,0,3,0,3,-2,0
154,7,0,3,0,3,0,0
155,1,1,3,1,3,-3,-3
155,2,1,3,2,3,-1,-1
155,3,0,3,0,3,-2,-2
155,4,1,3,1,3,0,0
155,5,0,3,0,3,0,0
155,6,0,3,0,3,-1,-1
155,7,0,3,0,3,-1,-1
156,1,0,3,0,3,-1,-1
156,2,0,3,0,3,-1,-2
156,3,0,3,0,3,1,-1
156,4,0,3,0,3,2,-1
156,5,0,3,0,3,0,0
156,6,0,3,0,3,2,-3
156,7,0,3,0,3,-1,-1
157,1,0,3,0,3,-1,0
157,2,0,3,0,3,0,0
157,3,0,3,0,3,0,0
157,4,0,3,0,3,-1,0
157,5,0,3,0,3,0,0
157,6,0,3,0,3,2,0
157,7,0,3,0,3,3,-2
158,1,0,3,0,3,-1,-2
158,2,0,3,0,3,1,3
158,3,0,3,0,3,0,0
158,4,0,3,0,3,-1,0
158,5,0,3,0,3,-1,2
158,6,0,3,0,3,0,3
158,7,0,3,0,3,0,-1
