"DYAD","PERSON","DAY","sexf","hb","ARGUE","CLOSE","SUP","REAP"
81,81,3,1,0,0,3,10,10
81,81,4,1,0,0,3,0,10
81,81,5,1,0,2,3,2,10
81,81,6,1,0,2,3,0,10
81,81,7,1,0,0,3,0,10
81,581,1,0,0,0,3,1,10
81,581,2,0,0,0,3,10,10
81,581,3,0,0,0,3,0,10
81,581,4,0,0,0,3,0,10
81,581,5,0,0,1,3,2,10
81,581,6,0,0,1,3,1,10
81,581,7,0,0,0,3,10,10
82,82,1,1,0,0,3,10,10
82,82,2,1,0,0,3,10,10
82,82,3,1,0,0,3,10,10
82,82,4,1,0,0,3,9,8
82,82,5,1,0,0,3,10,10
82,82,6,1,0,0,3,10,10
82,82,7,1,0,0,3,10,10
82,582,1,0,0,0,3,0,8
82,582,2,0,0,0,3,8,8
82,582,3,0,0,0,3,10,10
82,582,4,0,-1,0,3,0,9
82,582,5,0,1,0,3,1,10
82,582,6,0,-1,0,3,2,10
82,582,7,0,-1,0,3,2,10
83,83,1,1,1,0,3,10,8
83,83,2,1,1,0,2,7,5
83,83,3,1,0,1,3,5,5
83,83,4,1,-1,2,3,9,4
83,83,5,1,1,1,2,7,8
83,83,6,1,3,0,3,5,10
83,83,7,1,0,0,3,10,10
83,583,1,0,0,0,3,7,10
83,583,2,0,0,1,3,3,6
83,583,3,0,3,2,3,6,6
83,583,4,0,1,3,2,5,7
83,583,5,0,2,0,3,9,5
83,583,6,0,1,0,2,9,9
83,583,7,0,1,1,3,8,8
84,84,1,1,1,0,3,10,8
84,84,2,1,1,0,2,7,8
84,84,3,1,0,1,3,5,5
84,84,4,1,-1,2,3,9,8
84,84,5,1,1,1,2,7,8
84,84,6,1,3,0,3,5,10
84,84,7,1,0,0,3,10,10
84,584,1,0,0,0,3,7,10
84,584,2,0,0,1,3,9,6
84,584,3,0,3,2,3,6,6
84,584,4,0,1,3,2,5,7
84,584,5,0,2,0,3,9,9
84,584,6,0,1,0,2,9,9
84,584,7,0,1,1,3,8,8
85,85,1,1,0,1,3,5,5
85,85,2,1,-1,0,0,10,3
85,85,3,1,0,0,1,10,8
85,85,4,1,-1,2,3,9,2
85,85,5,1,0,0,2,3,8
85,85,6,1,0,1,1,3,1
85,85,7,1,-3,4,3,5,9
85,585,1,0,0,0,3,6,7
85,585,2,0,0,0,3,4,5
85,585,3,0,-1,0,3,5,4
85,585,4,0,2,0,2,2,4
85,585,5,0,1,0,1,5,6
85,585,6,0,0,0,1,2,2
85,585,7,0,-1,0,3,2,5
86,86,1,1,0,0,3,10,10
86,86,2,1,0,1,3,0,10
86,86,3,1,1,0,3,0,10
86,86,4,1,0,0,3,0,10
86,86,5,1,0,0,3,0,10
86,86,6,1,0,0,2,0,10
86,86,7,1,0,0,3,0,10
86,586,1,0,0,0,3,0,10
86,586,2,0,0,1,3,0,10
86,586,3,0,1,0,3,0,10
86,586,4,0,0,0,3,0,10
86,586,5,0,0,0,3,0,10
86,586,6,0,0,0,3,0,10
86,586,7,0,0,1,3,3,10
87,87,1,1,0,0,3,0,10
87,87,2,1,1,0,3,7,10
87,87,3,1,0,1,3,9,10
87,87,4,1,0,1,3,3,10
87,87,5,1,1,1,3,9,10
87,87,6,1,0,1,3,10,10
87,87,7,1,1,1,3,0,10
87,587,1,0,0,0,3,0,10
87,587,2,0,1,0,3,0,9
87,587,3,0,-1,1,3,0,9
87,587,4,0,-1,1,3,0,10
87,587,5,0,0,1,3,10,10
87,587,6,0,0,1,3,1,10
87,587,7,0,-2,1,2,1,9
88,88,1,1,0,0,3,3,10
88,88,2,1,1,1,3,0,10
88,88,3,1,0,0,3,2,10
