"DYAD","DAY","f_EATAMNTD","f_EXAMNTD","f_EATHLTHD","f_ARGUE","f_CLOSE","m_EATAMNTD","m_EXAMNTD","m_EATHLTHD","m_ARGUE","m_CLOSE"
161,4,0,0,0,1,3,0,0,0,1,3
161,5,0,0,0,0,3,0,-1,-1,0,3
161,6,0,0,0,0,3,0,0,0,0,3
161,7,0,0,-1,0,3,-1,-1,-1,0,3
162,1,0,0,-1,0,3,0,-1,-1,0,3
162,2,0,0,0,0,3,0,0,0,0,3
162,3,0,0,0,1,3,0,0,0,1,3
162,4,-1,0,0,1,3,-1,0,0,1,3
162,5,0,0,0,1,3,0,0,0,1,2
162,6,1,0,0,1,3,-1,0,0,1,3
162,7,0,0,0,0,3,0,0,0,0,3
163,1,0,0,0,0,3,-1,0,0,0,3
163,2,0,0,0,1,3,0,0,0,1,3
163,3,-1,-1,-1,0,3,0,0,0,0,3
163,4,0,0,0,0,3,0,1,-1,0,2
163,5,0,0,0,0,3,0,0,0,0,3
163,6,-1,-1,-1,1,2,0,-1,0,1,3
163,7,0,0,0,0,2,0,0,0,0,3
164,1,0,0,0,1,3,0,-1,-1,1,2
164,2,0,0,0,1,3,-1,-1,0,0,3
164,3,0,0,0,1,3,0,0,0,1,3
164,4,-1,-1,0,0,3,0,0,0,0,2
164,5,-1,0,0,2,3,-1,0,1,2,3
164,6,0,0,0,0,3,0,0,-1,0,2
164,7,0,0,0,1,3,0,0,0,1,3
165,1,-1,-1,0,0,3,0,0,0,0,3
165,2,0,0,0,0,3,0,-1,0,0,2
165,3,-1,0,-1,0,3,-1,0,0,0,3
165,4,-1,0,0,0,2,0,0,0,0,3
165,5,0,0,0,0,2,0,-1,-1,0,3
165,6,1,0,-1,0,2,-1,-1,-1,0,3
165,7,0,0,-1,0,3,-1,-1,1,0,3
166,1,0,0,0,0,3,0,-1,-1,0,3
166,2,0,0,0,0,3,0,0,0,0,2
166,3,-1,0,-1,1,3,-1,0,-1,1,2
166,4,-1,0,0,0,3,-1,0,0,0,2
166,5,0,0,0,1,3,0,0,0,1,2
166,6,0,0,0,0,3,0,0,0,0,2
166,7,0,0,0,0,3,0,0,0,0,2
167,1,0,0,0,0,2,0,0,0,0,3
167,2,1,1,1,0,3,1,0,0,0,3
167,3,1,1,1,1,3,0,0,0,1,3
167,4,-1,0,0,0,2,-1,-1,0,0,3
167,5,0,0,0,0,2,0,0,-1,0,3
167,6,1,0,0,0,3,0,0,1,0,3
167,7,0,0,0,0,2,-1,0,0,0,3
168,1,1,0,0,0,2,-1,0,0,0,2
168,2,-1,0,0,0,2,0,0,0,0,3
168,3,1,0,0,0,2,-1,-1,0,0,3
168,4,-1,-1,-1,0,3,0,0,0,0,3
168,5,-1,0,0,0,2,0,0,0,0,3
168,6,1,1,0,0,2,-1,-1,0,0,2
168,7,0,0,0,0,2,1,0,0,0,2
169,1,0,0,0,0,3,0,0,0,0,3
169,2,0,-1,-1,0,3,0,0,0,0,3
169,3,-1,0,0,0,3,0,0,0,0,3
169,4,1,0,0,0,3,0,0,0,0,3
169,5,-1,0,0,0,3,0,0,0,0,3
169,6,0,0,0,0,3,0,0,0,0,3
169,7,0,0,0,0,3,0,0,0,0,3
170,1,0,0,0,0,3,0,0,0,0,3
170,2,0,0,0,0,3,0,1,0,0,3
170,3,0,0,0,0,3,0,0,0,0,3
170,4,0,0,0,0,3,0,0,0,0,3
170,5,0,0,0,0,3,0,0,0,0,3
170,6,0,0,0,0,3,1,-1,0,0,3
170,7,0,0,0,0,3,0,0,0,0,3
